['yoongi-jjang', 'http://yoongi-jjang.tumblr.com', 'https://twitter.com/bts_twt', '1']
['studytwice', 'http://studytwice.tumblr.com', 'twitter.com/sarahboparah', '1']
['glamour', 'http://glamour.tumblr.com', 'twitter.com/glamour_fashion', '7']
['books-are-my-life20', 'http://books-are-my-life20.tumblr.com', 'twitter.com/booksaremylifes', '5']
['explore-blog', 'http://explore-blog.tumblr.com', 'twitter.com/explorer', '7']
['theemotionmachine', 'http://theemotionmachine.tumblr.com', 'twitter.com/StevenHandel', '1']
['unkaglen', 'http://unkaglen.tumblr.com', 'twitter.com/@glenfitzjerrell', '4']
['theflashcwconfessions', 'http://theflashcwconfessions.tumblr.com', 'twitter.com/CW_theflash', '8']
['adonisimam', 'http://adonisimam.tumblr.com', 'https://twitter.com/Adonisimam', '10']
['harrystylesnews', 'http://harrystylesnews.tumblr.com', 'twitter.com/HStylesNews_', '5']
['leohearts', 'http://leohearts.tumblr.com', 'twitter.com/LeoHCharmed', '2']
['bookmania', 'http://bookmania.tumblr.com', 'twitter.com/thebookmania', '9']
['allthecanadianpolitics', 'http://allthecanadianpolitics.tumblr.com', 'twitter.com/allthecdnpoli', '7']
['kingsman-network', 'http://kingsman-network.tumblr.com', 'twitter.com/kingsmanmovie', '8']
['justgotham', 'http://justgotham.tumblr.com', 'twitter.com/Gotham', '5']
['upthewitchypunx', 'http://upthewitchypunx.tumblr.com', 'twitter.com/alexwrekk', '1']
['intrainingdoc', 'http://intrainingdoc.tumblr.com', 'twitter.com/intrainingdoc', '13']
['dcfilms', 'http://dcfilms.tumblr.com', 'https://twitter.com/dccomics', '4']
['sarpadianempiresvol-viii', 'http://sarpadianempiresvol-viii.tumblr.com', 'twitter.com/@_SEV8', '0']
['becauseitisjohnnydepp', 'http://becauseitisjohnnydepp.tumblr.com', 'twitter.com/hansonparadis1', '2']
['hardlyboysbookclub', 'http://hardlyboysbookclub.tumblr.com', 'twitter.com/hardlyboyspod', '10']
['themmnetwork', 'http://themmnetwork.tumblr.com', 'twitter.com/themmnetwork', '12']
['autisticadvocacy', 'http://autisticadvocacy.tumblr.com', 'twitter.com/@autselfadvocacy', '8']
['asexualresearch', 'http://asexualresearch.tumblr.com', 'twitter.com/asexualstudies', '7']
['pantmonger', 'http://pantmonger.tumblr.com', 'twitter.com/Pantmonger', '9']
['spoonie-living', 'http://spoonie-living.tumblr.com', 'twitter.com/spoonieliving', '7']
['thefilmstage', 'http://thefilmstage.tumblr.com', 'twitter.com/TheFilmStage', '4']
['dylan-source', 'http://dylan-source.tumblr.com', 'twitter.com/dylanobrien', '5']
['outlanderonline', 'http://outlanderonline.tumblr.com', 'twitter.com/OutlanderOnline', '8']
['medievalistsnet', 'http://medievalistsnet.tumblr.com', 'twitter.com/Medievalists', '11']
['jbuffyangel', 'http://jbuffyangel.tumblr.com', 'twitter.com/jbuffyangel', '11']
['kitfistovevo', 'http://kitfistovevo.tumblr.com', 'twitter.com/jankcosplay', '1']
['purplebuddhaproject', 'http://purplebuddhaproject.tumblr.com', 'twitter.com/purpbuddha', '6']
['dennsokagi', 'http://dennsokagi.tumblr.com', 'twitter.com/nealakasivarcnm', '2']
['elblogdehiphop', 'http://elblogdehiphop.tumblr.com', 'twitter.com/elblogdehiphop', '14']
['apgujeon', 'http://apgujeon.tumblr.com', 'twitter.com/apgujeons', '8']
['dustinteractive', 'http://dustinteractive.tumblr.com', 'twitter.com/dustinteractive', '15']
['unsettlingstories', 'http://unsettlingstories.tumblr.com', 'twitter.com/unsettlingstory', '14']
['fyeahriverdale', 'http://fyeahriverdale.tumblr.com', 'twitter.com/CW_Riverdale', '8']
['maroalpaca', 'http://maroalpaca.tumblr.com', 'twitter.com/maroalpaca', '10']
['eroticfriendfictions', 'http://eroticfriendfictions.tumblr.com', 'twitter.com/eroticfriendfic', '15']
['newgirlgifs', 'http://newgirlgifs.tumblr.com', 'twitter.com/NewGirlonFOX', '3']
['rage-comics-base', 'http://rage-comics-base.tumblr.com', 'twitter.com/meme_humor', '1']
['dailycwriverdale', 'http://dailycwriverdale.tumblr.com', 'twitter.com/thecwriverdaily', '9']
['wanderlog', 'http://wanderlog.tumblr.com', 'twitter.com/wanderlog_org', '9']
['consivanqueen', 'http://consivanqueen.tumblr.com', 'twitter.com/consivanqueen', '13']
