15 85 85 3
2-TrainLoss = 2.308, TrainAccr= 0.104, ValidLoss = 2.375, ValidAccr= 0.073
3-TrainLoss = 2.155, TrainAccr= 0.206, ValidLoss = 2.291, ValidAccr= 0.151
4-TrainLoss = 1.960, TrainAccr= 0.380, ValidLoss = 2.219, ValidAccr= 0.231
5-TrainLoss = 1.686, TrainAccr= 0.576, ValidLoss = 2.136, ValidAccr= 0.293
6-TrainLoss = 1.391, TrainAccr= 0.706, ValidLoss = 2.063, ValidAccr= 0.310
7-TrainLoss = 1.105, TrainAccr= 0.781, ValidLoss = 2.028, ValidAccr= 0.313
8-TrainLoss = 0.851, TrainAccr= 0.851, ValidLoss = 2.041, ValidAccr= 0.310
9-TrainLoss = 0.652, TrainAccr= 0.904, ValidLoss = 2.080, ValidAccr= 0.297
10-TrainLoss = 0.489, TrainAccr= 0.945, ValidLoss = 2.149, ValidAccr= 0.274
11-TrainLoss = 0.359, TrainAccr= 0.971, ValidLoss = 2.218, ValidAccr= 0.265
12-TrainLoss = 0.268, TrainAccr= 0.981, ValidLoss = 2.293, ValidAccr= 0.256
13-TrainLoss = 0.201, TrainAccr= 0.989, ValidLoss = 2.353, ValidAccr= 0.255
14-TrainLoss = 0.154, TrainAccr= 0.993, ValidLoss = 2.425, ValidAccr= 0.254
15-TrainLoss = 0.120, TrainAccr= 0.995, ValidLoss = 2.495, ValidAccr= 0.253
16-TrainLoss = 0.094, TrainAccr= 0.996, ValidLoss = 2.521, ValidAccr= 0.248
17-TrainLoss = 0.076, TrainAccr= 0.997, ValidLoss = 2.563, ValidAccr= 0.252
18-TrainLoss = 0.059, TrainAccr= 0.999, ValidLoss = 2.602, ValidAccr= 0.249
19-TrainLoss = 0.052, TrainAccr= 0.998, ValidLoss = 2.663, ValidAccr= 0.249
accr is 0.500 accr per post is 0.256
0-TrainLoss = 2.890, TrainAccr= 0.100, ValidLoss = 2.779, ValidAccr= 0.055
1-TrainLoss = 2.639, TrainAccr= 0.102, ValidLoss = 2.645, ValidAccr= 0.099
2-TrainLoss = 2.476, TrainAccr= 0.147, ValidLoss = 2.563, ValidAccr= 0.145
3-TrainLoss = 2.302, TrainAccr= 0.213, ValidLoss = 2.483, ValidAccr= 0.159
4-TrainLoss = 2.075, TrainAccr= 0.313, ValidLoss = 2.409, ValidAccr= 0.168
5-TrainLoss = 1.800, TrainAccr= 0.455, ValidLoss = 2.357, ValidAccr= 0.173
6-TrainLoss = 1.474, TrainAccr= 0.625, ValidLoss = 2.313, ValidAccr= 0.195
7-TrainLoss = 1.135, TrainAccr= 0.792, ValidLoss = 2.292, ValidAccr= 0.218
8-TrainLoss = 0.833, TrainAccr= 0.883, ValidLoss = 2.295, ValidAccr= 0.248
9-TrainLoss = 0.600, TrainAccr= 0.932, ValidLoss = 2.313, ValidAccr= 0.261
10-TrainLoss = 0.433, TrainAccr= 0.960, ValidLoss = 2.351, ValidAccr= 0.272
11-TrainLoss = 0.320, TrainAccr= 0.972, ValidLoss = 2.392, ValidAccr= 0.279
12-TrainLoss = 0.239, TrainAccr= 0.983, ValidLoss = 2.440, ValidAccr= 0.283
13-TrainLoss = 0.183, TrainAccr= 0.988, ValidLoss = 2.455, ValidAccr= 0.284
14-TrainLoss = 0.143, TrainAccr= 0.993, ValidLoss = 2.513, ValidAccr= 0.281
15-TrainLoss = 0.115, TrainAccr= 0.996, ValidLoss = 2.536, ValidAccr= 0.282
16-TrainLoss = 0.092, TrainAccr= 0.998, ValidLoss = 2.584, ValidAccr= 0.279
17-TrainLoss = 0.077, TrainAccr= 0.998, ValidLoss = 2.593, ValidAccr= 0.280
18-TrainLoss = 0.067, TrainAccr= 0.998, ValidLoss = 2.641, ValidAccr= 0.274
19-TrainLoss = 0.056, TrainAccr= 0.999, ValidLoss = 2.666, ValidAccr= 0.271
accr is 0.400 accr per post is 0.279
15 85 90 3
0-TrainLoss = 2.831, TrainAccr= 0.016, ValidLoss = 2.768, ValidAccr= 0.015
1-TrainLoss = 2.585, TrainAccr= 0.065, ValidLoss = 2.651, ValidAccr= 0.049
2-TrainLoss = 2.454, TrainAccr= 0.112, ValidLoss = 2.561, ValidAccr= 0.050
3-TrainLoss = 2.298, TrainAccr= 0.182, ValidLoss = 2.486, ValidAccr= 0.051
4-TrainLoss = 2.103, TrainAccr= 0.303, ValidLoss = 2.416, ValidAccr= 0.064
5-TrainLoss = 1.868, TrainAccr= 0.472, ValidLoss = 2.350, ValidAccr= 0.123
6-TrainLoss = 1.586, TrainAccr= 0.629, ValidLoss = 2.292, ValidAccr= 0.216
7-TrainLoss = 1.280, TrainAccr= 0.759, ValidLoss = 2.267, ValidAccr= 0.256
8-TrainLoss = 1.009, TrainAccr= 0.849, ValidLoss = 2.278, ValidAccr= 0.257
9-TrainLoss = 0.763, TrainAccr= 0.914, ValidLoss = 2.292, ValidAccr= 0.267
10-TrainLoss = 0.573, TrainAccr= 0.954, ValidLoss = 2.314, ValidAccr= 0.270
11-TrainLoss = 0.430, TrainAccr= 0.972, ValidLoss = 2.324, ValidAccr= 0.272
12-TrainLoss = 0.317, TrainAccr= 0.984, ValidLoss = 2.345, ValidAccr= 0.279
13-TrainLoss = 0.237, TrainAccr= 0.991, ValidLoss = 2.365, ValidAccr= 0.277
14-TrainLoss = 0.180, TrainAccr= 0.994, ValidLoss = 2.381, ValidAccr= 0.279
15-TrainLoss = 0.139, TrainAccr= 0.995, ValidLoss = 2.397, ValidAccr= 0.282
16-TrainLoss = 0.111, TrainAccr= 0.997, ValidLoss = 2.408, ValidAccr= 0.293
17-TrainLoss = 0.089, TrainAccr= 0.999, ValidLoss = 2.423, ValidAccr= 0.293
18-TrainLoss = 0.073, TrainAccr= 0.999, ValidLoss = 2.439, ValidAccr= 0.293
19-TrainLoss = 0.061, TrainAccr= 0.999, ValidLoss = 2.451, ValidAccr= 0.297
accr is 0.700 accr per post is 0.285
0-TrainLoss = 2.807, TrainAccr= 0.044, ValidLoss = 2.340, ValidAccr= 0.054
1-TrainLoss = 2.601, TrainAccr= 0.061, ValidLoss = 2.320, ValidAccr= 0.066
2-TrainLoss = 2.465, TrainAccr= 0.096, ValidLoss = 2.300, ValidAccr= 0.111
3-TrainLoss = 2.319, TrainAccr= 0.158, ValidLoss = 2.270, ValidAccr= 0.156
4-TrainLoss = 2.141, TrainAccr= 0.238, ValidLoss = 2.226, ValidAccr= 0.186
5-TrainLoss = 1.892, TrainAccr= 0.385, ValidLoss = 2.151, ValidAccr= 0.213
6-TrainLoss = 1.610, TrainAccr= 0.548, ValidLoss = 2.076, ValidAccr= 0.232
7-TrainLoss = 1.314, TrainAccr= 0.690, ValidLoss = 1.989, ValidAccr= 0.259
8-TrainLoss = 1.037, TrainAccr= 0.796, ValidLoss = 1.909, ValidAccr= 0.279
9-TrainLoss = 0.819, TrainAccr= 0.851, ValidLoss = 1.845, ValidAccr= 0.298
10-TrainLoss = 0.628, TrainAccr= 0.905, ValidLoss = 1.797, ValidAccr= 0.313
11-TrainLoss = 0.486, TrainAccr= 0.941, ValidLoss = 1.755, ValidAccr= 0.334
12-TrainLoss = 0.373, TrainAccr= 0.964, ValidLoss = 1.750, ValidAccr= 0.345
13-TrainLoss = 0.293, TrainAccr= 0.976, ValidLoss = 1.677, ValidAccr= 0.382
14-TrainLoss = 0.225, TrainAccr= 0.987, ValidLoss = 1.662, ValidAccr= 0.394
15-TrainLoss = 0.176, TrainAccr= 0.991, ValidLoss = 1.687, ValidAccr= 0.384
