70 15 85 3
Validation Loss = 2.451, Validation Accuracy= 0.045
Training Loss = 2.538, Training Accuracy= 0.065
Validation Loss = 2.372, Validation Accuracy= 0.130
Training Loss = 2.504, Training Accuracy= 0.021
Validation Loss = 2.351, Validation Accuracy= 0.147
Training Loss = 2.434, Training Accuracy= 0.067
Validation Loss = 2.339, Validation Accuracy= 0.122
Training Loss = 2.397, Training Accuracy= 0.105
Validation Loss = 2.325, Validation Accuracy= 0.136
Training Loss = 2.320, Training Accuracy= 0.179
Validation Loss = 2.325, Validation Accuracy= 0.103
Training Loss = 2.236, Training Accuracy= 0.206
Validation Loss = 2.314, Validation Accuracy= 0.129
Training Loss = 2.122, Training Accuracy= 0.258
Validation Loss = 2.297, Validation Accuracy= 0.135
Training Loss = 2.001, Training Accuracy= 0.312
Validation Loss = 2.323, Validation Accuracy= 0.119
Training Loss = 1.889, Training Accuracy= 0.386
Validation Loss = 2.267, Validation Accuracy= 0.169
Training Loss = 1.692, Training Accuracy= 0.452
Validation Loss = 2.281, Validation Accuracy= 0.149
Training Loss = 1.639, Training Accuracy= 0.485
Validation Loss = 2.288, Validation Accuracy= 0.201
Training Loss = 1.329, Training Accuracy= 0.660
Validation Loss = 2.295, Validation Accuracy= 0.184
Training Loss = 1.154, Training Accuracy= 0.700
Validation Loss = 2.376, Validation Accuracy= 0.174
Training Loss = 1.000, Training Accuracy= 0.753
Validation Loss = 2.496, Validation Accuracy= 0.135
Training Loss = 0.974, Training Accuracy= 0.764
Validation Loss = 2.356, Validation Accuracy= 0.184
Training Loss = 0.772, Training Accuracy= 0.854
Validation Loss = 2.510, Validation Accuracy= 0.164
Training Loss = 0.632, Training Accuracy= 0.874
Validation Loss = 2.567, Validation Accuracy= 0.160
accr is 0.300 accr per post is 0.166
85 70 85 5
Training Loss = 2.867, Training Accuracy= 0.032
Validation Loss = 2.656, Validation Accuracy= 0.095
Training Loss = 2.636, Training Accuracy= 0.000
Validation Loss = 2.542, Validation Accuracy= 0.034
Training Loss = 2.535, Training Accuracy= 0.000
Validation Loss = 2.441, Validation Accuracy= 0.007
Training Loss = 2.499, Training Accuracy= 0.000
Validation Loss = 2.396, Validation Accuracy= 0.009
Training Loss = 2.442, Training Accuracy= 0.000
Validation Loss = 2.357, Validation Accuracy= 0.010
Training Loss = 2.396, Training Accuracy= 0.018
Validation Loss = 2.332, Validation Accuracy= 0.025
Training Loss = 2.338, Training Accuracy= 0.077
Validation Loss = 2.305, Validation Accuracy= 0.038
Training Loss = 2.270, Training Accuracy= 0.179
Validation Loss = 2.278, Validation Accuracy= 0.142
Training Loss = 2.162, Training Accuracy= 0.304
Validation Loss = 2.234, Validation Accuracy= 0.231
Training Loss = 2.028, Training Accuracy= 0.389
Validation Loss = 2.184, Validation Accuracy= 0.279
Training Loss = 1.853, Training Accuracy= 0.450
Validation Loss = 2.167, Validation Accuracy= 0.242
Training Loss = 1.657, Training Accuracy= 0.476
Validation Loss = 2.161, Validation Accuracy= 0.258
Training Loss = 1.491, Training Accuracy= 0.473
Validation Loss = 2.224, Validation Accuracy= 0.210
Training Loss = 1.228, Training Accuracy= 0.619
Validation Loss = 2.135, Validation Accuracy= 0.262
Training Loss = 1.114, Training Accuracy= 0.619
Validation Loss = 2.205, Validation Accuracy= 0.175
Training Loss = 0.896, Training Accuracy= 0.720
Validation Loss = 2.292, Validation Accuracy= 0.210
Training Loss = 0.809, Training Accuracy= 0.734
Validation Loss = 2.313, Validation Accuracy= 0.167
Training Loss = 0.627, Training Accuracy= 0.841
Validation Loss = 2.461, Validation Accuracy= 0.209
Training Loss = 0.506, Training Accuracy= 0.868
Validation Loss = 2.448, Validation Accuracy= 0.219
Training Loss = 0.431, Training Accuracy= 0.875
Validation Loss = 2.421, Validation Accuracy= 0.244
accr is 0.700 accr per post is 0.240
Training Loss = 2.851, Training Accuracy= 0.011
Validation Loss = 2.697, Validation Accuracy= 0.064
Training Loss = 2.616, Training Accuracy= 0.018
Validation Loss = 2.528, Validation Accuracy= 0.064
Training Loss = 2.528, Training Accuracy= 0.000
Validation Loss = 2.470, Validation Accuracy= 0.064
Training Loss = 2.484, Training Accuracy= 0.007
Validation Loss = 2.470, Validation Accuracy= 0.064
Training Loss = 2.441, Training Accuracy= 0.003
Validation Loss = 2.440, Validation Accuracy= 0.064
Training Loss = 2.399, Training Accuracy= 0.009
Validation Loss = 2.425, Validation Accuracy= 0.064
Training Loss = 2.348, Training Accuracy= 0.035
Validation Loss = 2.398, Validation Accuracy= 0.065
Training Loss = 2.284, Training Accuracy= 0.102
Validation Loss = 2.382, Validation Accuracy= 0.074
Training Loss = 2.196, Training Accuracy= 0.199
Validation Loss = 2.358, Validation Accuracy= 0.092
Training Loss = 2.058, Training Accuracy= 0.286
Validation Loss = 2.333, Validation Accuracy= 0.130
Training Loss = 1.900, Training Accuracy= 0.345
Validation Loss = 2.288, Validation Accuracy= 0.147
Training Loss = 1.710, Training Accuracy= 0.415
Validation Loss = 2.396, Validation Accuracy= 0.117
Training Loss = 1.550, Training Accuracy= 0.482
Validation Loss = 2.383, Validation Accuracy= 0.133
Training Loss = 1.308, Training Accuracy= 0.564
Validation Loss = 2.402, Validation Accuracy= 0.152
Training Loss = 1.131, Training Accuracy= 0.637
Validation Loss = 2.266, Validation Accuracy= 0.206
Training Loss = 0.968, Training Accuracy= 0.714
Validation Loss = 2.331, Validation Accuracy= 0.202
Training Loss = 0.846, Training Accuracy= 0.751
Validation Loss = 2.605, Validation Accuracy= 0.155
Training Loss = 0.727, Training Accuracy= 0.798
Validation Loss = 2.475, Validation Accuracy= 0.190
Training Loss = 0.601, Training Accuracy= 0.855
Validation Loss = 2.479, Validation Accuracy= 0.216
Training Loss = 0.495, Training Accuracy= 0.879
Validation Loss = 2.453, Validation Accuracy= 0.239
accr is 0.300 accr per post is 0.228
85 70 50 3
Training Loss = 3.040, Training Accuracy= 0.000
Validation Loss = 2.279, Validation Accuracy= 0.015
Training Loss = 2.744, Training Accuracy= 0.000
Validation Loss = 2.217, Validation Accuracy= 0.026
Training Loss = 2.520, Training Accuracy= 0.005
Validation Loss = 2.197, Validation Accuracy= 0.092
Training Loss = 2.353, Training Accuracy= 0.132
Validation Loss = 2.184, Validation Accuracy= 0.138
Training Loss = 2.145, Training Accuracy= 0.325
Validation Loss = 2.168, Validation Accuracy= 0.172
Training Loss = 1.830, Training Accuracy= 0.530
Validation Loss = 2.218, Validation Accuracy= 0.181
Training Loss = 1.427, Training Accuracy= 0.702
Validation Loss = 2.260, Validation Accuracy= 0.204
Training Loss = 1.018, Training Accuracy= 0.813
Validation Loss = 2.328, Validation Accuracy= 0.226
Training Loss = 0.628, Training Accuracy= 0.909
Validation Loss = 2.183, Validation Accuracy= 0.260
Training Loss = 0.358, Training Accuracy= 0.954
Validation Loss = 2.547, Validation Accuracy= 0.233
Training Loss = 0.186, Training Accuracy= 0.985
Validation Loss = 2.837, Validation Accuracy= 0.240
Training Loss = 0.092, Training Accuracy= 0.994
Validation Loss = 2.952, Validation Accuracy= 0.255
Training Loss = 0.188, Training Accuracy= 0.978
Validation Loss = 4.841, Validation Accuracy= 0.253
Training Loss = 0.094, Training Accuracy= 0.986
Validation Loss = 2.877, Validation Accuracy= 0.262
Training Loss = 0.047, Training Accuracy= 0.997
Validation Loss = 2.904, Validation Accuracy= 0.261
Training Loss = 0.031, Training Accuracy= 0.999
Validation Loss = 2.996, Validation Accuracy= 0.254
Training Loss = 0.020, Training Accuracy= 1.000
Validation Loss = 3.121, Validation Accuracy= 0.253
Training Loss = 0.015, Training Accuracy= 1.000
Validation Loss = 3.222, Validation Accuracy= 0.250
Training Loss = 0.012, Training Accuracy= 1.000
Validation Loss = 3.325, Validation Accuracy= 0.251
Training Loss = 0.009, Training Accuracy= 1.000
Validation Loss = 3.417, Validation Accuracy= 0.253
accr is 0.500 accr per post is 0.244
Training Loss = 2.771, Training Accuracy= 0.000
Validation Loss = 2.568, Validation Accuracy= 0.100
Training Loss = 2.542, Training Accuracy= 0.007
Validation Loss = 2.466, Validation Accuracy= 0.103
Training Loss = 2.398, Training Accuracy= 0.071
Validation Loss = 2.372, Validation Accuracy= 0.108
Training Loss = 2.226, Training Accuracy= 0.225
Validation Loss = 2.293, Validation Accuracy= 0.134
Training Loss = 1.980, Training Accuracy= 0.455
Validation Loss = 2.168, Validation Accuracy= 0.189
Training Loss = 1.621, Training Accuracy= 0.625
Validation Loss = 2.026, Validation Accuracy= 0.270
Training Loss = 1.248, Training Accuracy= 0.738
Validation Loss = 1.869, Validation Accuracy= 0.320
Training Loss = 0.913, Training Accuracy= 0.805
Validation Loss = 2.031, Validation Accuracy= 0.342
Training Loss = 0.641, Training Accuracy= 0.849
Validation Loss = 1.842, Validation Accuracy= 0.357
Training Loss = 0.380, Training Accuracy= 0.955
Validation Loss = 1.848, Validation Accuracy= 0.353
Training Loss = 0.207, Training Accuracy= 0.978
Validation Loss = 1.992, Validation Accuracy= 0.330
Training Loss = 0.123, Training Accuracy= 0.988
Validation Loss = 1.833, Validation Accuracy= 0.386
Training Loss = 0.064, Training Accuracy= 0.996
Validation Loss = 1.896, Validation Accuracy= 0.386
Training Loss = 0.051, Training Accuracy= 0.995
Validation Loss = 2.134, Validation Accuracy= 0.346
Training Loss = 0.027, Training Accuracy= 0.999
Validation Loss = 2.102, Validation Accuracy= 0.383
Training Loss = 0.018, Training Accuracy= 0.999
Validation Loss = 2.313, Validation Accuracy= 0.343
Training Loss = 0.014, Training Accuracy= 1.000
Validation Loss = 2.077, Validation Accuracy= 0.385
Training Loss = 0.011, Training Accuracy= 1.000
Validation Loss = 2.651, Validation Accuracy= 0.330
Training Loss = 0.009, Training Accuracy= 1.000
Validation Loss = 2.380, Validation Accuracy= 0.353
Training Loss = 0.007, Training Accuracy= 1.000
Validation Loss = 2.537, Validation Accuracy= 0.357
accr is 0.800 accr per post is 0.349
30 7 100 5
Training Loss = 2.768, Training Accuracy= 0.000
Validation Loss = 2.441, Validation Accuracy= 0.033
Training Loss = 2.580, Training Accuracy= 0.000
