doodlezisdead 144906096261 "2016-05-25 13:35:46 GMT" https://doodlezisdead.tumblr.com/post/144906096261/thousand-miles-a-song-by-tove-lo-on-spotify Yes True link
doodlezisdead 139122380207 "2016-02-11 18:27:19 GMT" https://doodlezisdead.tumblr.com/post/139122380207/hybristophilia "intersectdisconnect: the more you know. Well god damn" False link
doodlezisdead 136981308677 "2016-01-10 01:02:27 GMT" https://doodlezisdead.tumblr.com/post/136981308677/fleetwood-mac-rhiannon-awesome-performance "I want to get lost with someone in music…." True link
doodlezisdead 132601641292 "2015-11-05 14:35:44 GMT" https://doodlezisdead.tumblr.com/post/132601641292/well-hello-beautiful "sanitysoldseparately:Dat sexy twirl…" False link
doodlezisdead 123399652977 "2015-07-06 21:08:31 GMT" https://doodlezisdead.tumblr.com/post/123399652977/netherrealm "mortalkombatdaily: The Kombat Kast Stream is now live!" False link
doodlezisdead 123296395497 "2015-07-05 18:05:07 GMT" https://doodlezisdead.tumblr.com/post/123296395497/ooooo-yes-ash-vs-evil-dead  True link
doodlezisdead 121092102942 "2015-06-09 08:04:21 GMT" https://doodlezisdead.tumblr.com/post/121092102942/mermaids  True link
doodlezisdead 119209850757 "2015-05-17 18:36:40 GMT" https://doodlezisdead.tumblr.com/post/119209850757/to-uk-peeps "rainbirb:  orcasoup:  pettyartist:  roachpatrol: so you guys are facing down yet another global warming summer and as an american i feel entitled to barge over and give you a lot of advice about how to live your life. also i’m used to surviving 90-110 degree summers (32—43 celsius)…    and i can confirm as a ‘UK peep’ that the hottest it ever gets over here 5 degrees….. and it rains complaints and disappointment during said heat  " False link
doodlezisdead 119025641282 "2015-05-15 13:41:07 GMT" https://doodlezisdead.tumblr.com/post/119025641282/doodlez-doodlez82-twitter "I do the twitter thing as welll" True link
doodlezisdead 116301337752 "2015-04-13 15:30:15 GMT" https://doodlezisdead.tumblr.com/post/116301337752/you-people-should-send-me-stuff "Today is an up/down day… Entertain me! Asks and submissions welcome!" True link
doodlezisdead 114606567837 "2015-03-25 20:32:25 GMT" https://doodlezisdead.tumblr.com/post/114606567837/send-me-nice-things-writings-thoughts-pictures "Send me nice things, writings, thoughts, pictures, nice thingsI need cheering up" True link
doodlezisdead 113779612882 "2015-03-16 12:00:43 GMT" https://doodlezisdead.tumblr.com/post/113779612882/get-to-know-you-thingy "socksualvixen: bbbwitched:  lokilockedcougar:  Tagged by both angryschnauzer and bettybeverley1. Why did you chose your URL?I love Loki. I love Sherlock. I’m older than your average fangirl. 2. What is your middle name?Braman 3. If you could own a fairytale/fictional pet, what would it be?    Tagged by loopylass551. Why did you chose your URL?I’m a fox, who loves puns and socks.2. What is your middle name?Madeleine.3. If you could own a fairytale/fictional pet, what would it be? DAGRONS!!!!4. Favourite colour?Black, Grey, Purple, Blue.5. Favourite song?CurrentlyWhat The Water Gave Me (Demo) - Florence + The MachineNew Drink For The Old Drunk - Crooked FingersLove Love Love - The Mountain GoatsO Deadly Death - ForgettersTruth Goodness and Beauty - The Cure6. What are your top 5 fandoms?Sandman, Disney, HP, SuperWhoLock, Marvel7. Why do you enjoy Tumblr?Escapism, positivity, porn, nerdness.8. Tag all nine of your Tumblr crushes. They do the questions too (if they like).glitter-doodlez  solazyicanteventhinkupaurl  loopylass55  xo-amore  thatscottishguymitch  c-r-e-e-p-z  wevansly  alilbitofrandom  unidentifiedspoonPlease don’t hate me for tagging you. I’m sorry! I will do this when I get in tonight" False link
doodlezisdead 113287910062 "2015-03-10 22:21:27 GMT" https://doodlezisdead.tumblr.com/post/113287910062/silverchair-emotion-sickness-live-newcastle "Life from faraway stables - Emotional SicknessIf this doesn’t stir something in you… you are dead" True link
doodlezisdead 112602780697 "2015-03-03 13:54:09 GMT" https://doodlezisdead.tumblr.com/post/112602780697/ring-for-sale  True link
doodlezisdead 112326262942 "2015-02-28 17:13:30 GMT" https://doodlezisdead.tumblr.com/post/112326262942/send-me-nice-things-or-asks "Coming off Tumblr for a few hours, send me nice things for when i get back!" True link
