a-dreamers-universe 160243847643 "2017-05-02 22:53:01 GMT" http://a-dreamers-universe.tumblr.com/post/160243847643/and-in-that-moment "THE ENTIRE THEATRE JUMPED ON THEIR SEETDON’TDENYIT.IALMOSTSCREAMED" True text
a-dreamers-universe 160229060773 "2017-05-02 14:21:13 GMT" http://a-dreamers-universe.tumblr.com/post/160229060773/galorya-im-just-trying-to-find-someone-who "galorya: Im just trying to find someone who looks at me the same way I look at Dan Stevens" False text
a-dreamers-universe 160083410593 "2017-04-28 13:17:50 GMT" http://a-dreamers-universe.tumblr.com/post/160083410593/prnceadam-what-are-you-reading-nothing "prnceadam: “what are you reading?”“NOTHING.”“guinevere and lancelot ..”                                          3 YEARS EARLIER:" False text
a-dreamers-universe 159988574828 "2017-04-25 21:09:22 GMT" http://a-dreamers-universe.tumblr.com/post/159988574828/i-just-cant "I can’t stop fangirling over Beauty and the Beast…Just look at all the hope he has on his face in this shot.My baby…" True text
a-dreamers-universe 159858643888 "2017-04-22 11:07:27 GMT" http://a-dreamers-universe.tumblr.com/post/159858643888/ssimsass-brilliancetheory "ssimsass: brilliancetheory: catsandmadteaparties: brilliancetheory:  catsandmadteaparties:  brilliancetheory:  I just think it’s funny how many Gaston fangirls I’ve seen so far pulling the “Gaston didn’t deserve to die!” card, either because they’re into Luke Evans or because 2017 Gaston was in the army and therefore has PTSD and doesn’t deserve anything bad happening to him. Like… he literally refers to Belle (and women in general) as ‘prey’, he attempts to murder Maurice when he tells him he can’t marry Belle, he belittles Lefou and uses him as a human shield during the castle fight, he shoots the Beast in the back three times, but sure; he was pretty and fought in the war so poor precious baby. If that isn’t what actually makes Gaston frightening in the first place though. People (in particular women) excusing/overlooking his poor actions in favour of appearances.  Did they just entirely miss who Gaston is suppose to represent? He represents the people in society who use their privilege and influence to oppress others for their own motives.  He is a bully. He uses his privilege and influence to manipulate and ostracise people. He is a misogynistic, sexist pig. He attempts to murder Belle’s father and the Beast because of his greed. He is arrogant. He ENJOYS war and violence- he is practically a sociopath. He emotionally and physically abuses Lefou.  The list could go on.  The Beast- Prince Adam- also spares Gaston when he attempted many times to murder him. it was due to his own foolishness that Gaston dies in the first place.  You can adore Luke Evans but Gaston is a piece of shit in every version of the Beauty and the Beast. He is an archetype of the bully and the oppressor.   Gaston is essentially meant to represent everything the Beast is not. The Beast seems terrifying and brutal and merciless, but is in fact much softer than he appears. He learns to love and becomes selfless and caring and compassionate. But all people see is a monster. Gaston is misogynistic, manipulative, most likely abusive. He’s shown to be violent and cruel. He isn’t above the “if I can’t have the person I like, no one else can” mentality, which is an all-too real cause of violence in the real world. He’s selfish and entitled to the point of being willing to resort to murder to get what he wants. He is an actual monster, but all people see is an attractive charismatic man of high social standing.  “He’s no monster, Gaston, you are.” Belle said it best, really.  Exactly.  Also, everyone needs to take a close listen to ‘The Mob Song’ that is sung by Gaston and the villagers. That song is so close to my heart because it is so accurate in depicting how people can be manipulated into demonising, scapegoating and marginalising the vulnerable because someone (like Gaston) came along and influenced the majority through fear and as well as by ‘othering’ them (in the case of BATB; Belle, the Beast and Maurice)- mob mentality.  And look just how powerful these lines are: “We’re not safe until he’s dead” “Here we come, We’re fifty strong And fifty Frenchmen can’t be wrong”  “We’re counting on Gaston to lead the way!” “We don’t like What we don’t understand. In fact, it scares. And this monster is as mysterious at least”  “Save your children and your wives. We’ll save the village and our lives”  And the Macbeth reference: “Screw your courage to the sticking place!” sung by Gaston. Gaston- Lady Macbeth  This song actually makes me cry and emotional. Gaston is the modern day villain. Belle and the Beast are different to the majority and are people that the Villagers can’t understand. Gaston wants something from them so he uses their ‘difference’ to the majority against them in order to subdue them.  This is why I fucking LOVE this movie. It is so powerful and symbolic of society. That is what makes Gaston a fucking awesome villain because he is REAL and COMMON.   We all know many Gastons.   “There’s a beast running wild, there’s no question, but I fear the wrong monster’s released.”I MEAN. EVEN LEFOU HAD IT FIGURED OUT. PREACH" False text
a-dreamers-universe 159751530668 "2017-04-19 12:43:08 GMT" http://a-dreamers-universe.tumblr.com/post/159751530668/beauty-and-the-beast-live-action "movielover55: I think I’m a bit obsessed. I just saw the movie for my third time but it’s just that it’s so good. And they made an amazing movie into something that is so wonderfully acted and the cast was perfect. It’s like every time I see it, I feel more emotion. And I just get the passion these amazing actors put into it. Don’t even get me started on the ships. It’s just like the amazing fandom has come together and kept the legacy going even though it’s only been out for a month  this story is just amazing. I’ve seen it six times. I’m definitely obsessed" False text
a-dreamers-universe 158959152118 "2017-03-29 08:41:16 GMT" http://a-dreamers-universe.tumblr.com/post/158959152118/dan-stevens-on-his-evil-disney-laugh-scaring "danstevensnews: This interview is a must. Love his wife:: checkPhilippe the horse and Beast bond:: checkIrish Accent:: checkCarrying kegs in The Guest:: check" False link
a-dreamers-universe 157841640228 "2017-03-01 00:57:21 GMT" http://a-dreamers-universe.tumblr.com/post/157841640228/so-beauty-and-the-beast-live-action-is-getting-a "Lumiere and Cogsworth’s shippers BEFORE reading this: Lumiere and Cogsworth shippers AFTER reading this:" True link
a-dreamers-universe 156998710113 "2017-02-09 01:38:49 GMT" http://a-dreamers-universe.tumblr.com/post/156998710113/beauty-and-the-beast-live-action-2017-film "Well I would’ve never guessed for this to reach 100 likes, who knew that in just a week or so it would be more than 1000!Thank you so much *^*" True link
a-dreamers-universe 156478691068 "2017-01-28 08:14:29 GMT" http://a-dreamers-universe.tumblr.com/post/156478691068/doctor-who-parody-by-the-hillywood-show "How come I never knew of this???" True link
a-dreamers-universe 155116036583 "2016-12-29 13:13:55 GMT" http://a-dreamers-universe.tumblr.com/post/155116036583/emma-watson-singing-something-there "I repeat: “EMMA WATSON SINGING SOMETHING THERE”!!!!!!!!! AND IF YOU WERE’T 100% SURE SHE WAS PERFECT NOW YOU HAVE TO BE!" True link
a-dreamers-universe 155064876808 "2016-12-28 09:39:52 GMT" http://a-dreamers-universe.tumblr.com/post/155064876808/omg-omg-omg-beauty-and-the-beast-rose-jewelry-box "OMG OMG OMG Beauty and the beast Rose jewelry box video with song" True link
a-dreamers-universe 154507458043 "2016-12-15 14:35:28 GMT" http://a-dreamers-universe.tumblr.com/post/154507458043/ian-mckellen-beauty-and-the-beast-table-read "klstheword: Here’s a little reminder of that first day!Tuesday 14 April 2015Shepperton Studios, LondonIan McKellen recalls the dayBEAUTY AND THE BEAST starts!The first read-through of a film-script gathers together the cast to meet ‘round a table and speak their words outloud for the first time: a nerve-wracking occasion as we try to impress each other and at the same time somewhat underplay, lest our initial reading is not quite what the director has in mind. Today there were sly glances at our director Bill Condon, who thankfully smiled benignly throughout. Behind him and ‘round us there was a further audience - Disney producers who we may not meet again until the movie’s premiere, plus colleagues in charge of cameras, lighting, sound, sets, costume and make-up who will be our constant companions throughout the shooting schedule.Today Beauty and her Beast (Emma Watson and Dan Stevens) read with their supporting cast: and a happy reunion it was for me, next to Mr Holmes’ “Lady in Grey” (Hattie Morahan) along from Bard the Bowman (Luke Evans) and Kevin Kline, who I haven’t seen since we received our Tony Awards together in 1981. The cast were seated 'round four long trestle tables placed in a square. In the middle on their own little stage there was a large clock and a feather duster and a candelabra, who all remained static throughout the morning. Elsewhere, everything and everyone was alive and even kicking, high-kicking too. Bill Condon had decided to put on a show and I’ve never seen or heard anything like it.I arrived nearly late after a two-hour drive across London’s morning rush-hour: and into Shepperton Studios where films have been made since 1931. There were clusters of white roses on the tables and a mike for each actor so we could be heard above the music from the electronic keyboard and percussion and the glorious voices of a 30-strong choir. They were impressive enough, until the studio lights dimmed and the chorus sprang up and danced their merry way through the classic songs by Alan Menken, who was sitting next to Tim Rice who has contributed some new ones. It’s the first time that I’ve heard applause at a read-through, let alone a standing ovation by the end. The legendary Audra McDonald had sung and Emma Thompson too (a cupboard and a teapot in the Beast’s bewitched household).But my favourite moment, because it made me weepy, was when the Beast’s loving arm was placed tentatively on Belle’s shoulder after their pas de deux. Clearly dancing and singing rehearsals had started before today. My own are to come. I’m going to have to work hard to equal what has already been achieved. All the long way home, I hummed Be my Guest, in which I shall get to sing a line or two. Aren’t I the lucky one ….." False link
a-dreamers-universe 128488341223 "2015-09-06 16:27:46 GMT" http://a-dreamers-universe.tumblr.com/post/128488341223/okay-listen-up-swifties "I’m making this as a warning for everyone. You know there’s this new advertising with eos that Taylor has done (I found it so cute)? Well for all of you that are publishing pictures/videos or anything else, pay attention, because they are DELETING some pages. This one in the link, for example, is a page that I had followed since 2011 when I became a fan and it had 10.000 likes on facebook (it’s not a lot, but we’re not so many in Italy). It disappeared yesterday. Even on tumbrl they’re deleting stuff. Soooooo swifties, if you don’t want to see the work of years going to waste pay attention, because they’re not kidding I don’t even know why they’re doing this… I’m so sad :(" True link
a-dreamers-universe 112249182328 "2015-02-27 20:51:38 GMT" http://a-dreamers-universe.tumblr.com/post/112249182328/its-black-and-blue "Everyone take a deep breath <3 also that cutie pie of taylorswift *^* she was so lovely :3" True link
