gotmeolk 155808692552 "2017-01-13 14:55:17 GMT" http://gotmeolk.tumblr.com/post/155808692552/효린조용우-듀엣곡으로-완벽-변신-butterfly "[VIDEO] 170113 Hyorin & Jo Yongwoo singing BTS’ “Butterfly” on MBC’s Duet Song Festival" True link
gotmeolk 155708187027 "2017-01-11 06:50:07 GMT" http://gotmeolk.tumblr.com/post/155708187027/공식입장-방탄소년단-측-2월-컴백-목표-정해진-것-없다 "[UPDATE] 170111 BigHit Official’s Statement Re: Rumours of BTS’ February Comeback (an extension to their 2nd full album, WINGS)“Although it is true that we are aiming for a comeback in February, we haven’t decided the exact date of the comeback or what the album & tracklist will look like. There has been nothing decided.”trans © Jungkook Updates" True link
gotmeolk 155024450827 "2016-12-27 14:57:45 GMT" http://gotmeolk.tumblr.com/post/155024450827/샤이니-태민x방탄소년단-지민-kbs-가요대축제서-댄스-컬래버레이션텐아시아 "[NEWS] 161226 SHINee’s Lee Taemin &   BTS’ Park Jimin  will have a dance collaboration for    ‘2016 KBS Gayo Daechukje’ on December 29, 2016They just saved 2016" True link
gotmeolk 154156962027 "2016-12-07 09:47:23 GMT" http://gotmeolk.tumblr.com/post/154156962027/the-20-best-albums-of-2016  True link
gotmeolk 153469365137 "2016-11-21 11:19:23 GMT" http://gotmeolk.tumblr.com/post/153469365137/got-meolk "sugasuite: Shameless plug of my baby sister’s blog @gotmeolk :) For ChimChim updates and HDs… That’s all for now. Good night!  I luff you." False link
gotmeolk 153303186167 "2016-11-17 15:08:25 GMT" http://gotmeolk.tumblr.com/post/153303186167/2016-mama-vote-mnet-asian-music-awards "gotmeolk:   !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve!  ALSOOOOOO…Vote for BTS @ SBS Pop Asia for Best Boy Band: hereWatch the Blood, Sweat, Tears MV : hereSearch “ 방탄소년단 “ on Naver : hereStream Wings Album on Music Apps (Melon, Naver Music, Spotify, etc.)" False link
gotmeolk 153224929137 "2016-11-15 19:21:09 GMT" http://gotmeolk.tumblr.com/post/153224929137/got-meolk "sugasuite: Also… for Jimin stans… if you haven’t yet…. follow my baby sister… @gotmeolk…. She’s funny… sometimes… just kidding…  She’s cool, i guess…   …this is sweet…. i think……uuh…thank you….hearteu…" False link
gotmeolk 153218013622 "2016-11-15 15:46:43 GMT" http://gotmeolk.tumblr.com/post/153218013622/2016-mama-vote-mnet-asian-music-awards "gotmeolk:   !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve!  Alsooooo…Watch the Blood, Sweat, Tears MV : hereSearch “ 방탄소년단 “ on Naver : hereStream Wings Album on Music Apps (Melon, Naver Music, Spotify, etc.)HWAITING ARMY! Our boys are counting on us~" False link
gotmeolk 152999964642 "2016-11-10 17:00:19 GMT" http://gotmeolk.tumblr.com/post/152999964642/2016-mama-vote-mnet-asian-music-awards "gotmeolk:  !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve! " False link
gotmeolk 152867755777 "2016-11-07 20:29:41 GMT" http://gotmeolk.tumblr.com/post/152867755777/2016-mama-vote-mnet-asian-music-awards "gotmeolk:  !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve! " False link
gotmeolk 152817129432 "2016-11-06 17:20:31 GMT" http://gotmeolk.tumblr.com/post/152817129432/2016-mama-vote-mnet-asian-music-awards "gotmeolk:   !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve! " False link
gotmeolk 152733504307 "2016-11-04 17:37:41 GMT" http://gotmeolk.tumblr.com/post/152733504307/2016-mama-vote-mnet-asian-music-awards "gotmeolk:  !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve! " False link
gotmeolk 152565483897 "2016-10-31 19:21:34 GMT" http://gotmeolk.tumblr.com/post/152565483897/2016-mama-vote-mnet-asian-music-awards "gotmeolk:  !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!  BTS is nominated in 5 categories:  Best Male Group  Best Dance Performance (Male Group)  Best MV  Artist of the Year **  Song of the Year ** ** These are DAESANG awards. 800% Important. VOTE. Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve!  DAY 5 of voting! Let’s do this!(Also reminding ya’ll to keep voting for BTS in AAA (Asia Music Awards), keep streaming the Blood, Sweat & Tears MV on Youtube, keep streaming on Melon, Naver Music, Spotify etc.,& keep voting for Bangtan in Music Shows (M!Countdown, Music Bank, Inkigayo, Show Champion, & The Show)If you have any questions, feel free to message me. We’re all in this together!" False link
gotmeolk 152511312682 "2016-10-30 15:33:04 GMT" http://gotmeolk.tumblr.com/post/152511312682/2016-mama-vote-mnet-asian-music-awards " !!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!! BTS is nominated in 5 categories:Best Male GroupBest Dance Performance (Male Group)Best MVArtist of the Year **Song of the Year **** These are DAESANG awards. 800% Important. VOTE.Team work makes the dream work. We need to gather all ARMYs for this.Let’s get our boys the awards deserve!" True link
gotmeolk 152469826277 "2016-10-29 16:44:17 GMT" http://gotmeolk.tumblr.com/post/152469826277/2016-mama-vote-mnet-asian-music-awards "!!! ^^^ DALY REMINDER : MAMA 2016 VOTING (For BTS) ^^^ !!!BTS is nominated in 5 categories:Best Male GroupBest Dance Performance (Male Group)Best MVArtist of the Year **Song of the Year **** These are DAESANG awards. 800% Important. VOTE.3rd Day of Voting has started! Don’t forget to vote ARMYs.You can check BTS’ current ranking on the site as well.Remember, you can vote with different accounts/email adresses (up to 10 accounts per device/IP adress)If you have questions, you can DM me. <3" True link
gotmeolk 151743385582 "2016-10-13 09:06:30 GMT" http://gotmeolk.tumblr.com/post/151743385582/show-mnet-mcountdown "Streaming Link for MCountDown 6:00pm KST (Now)BTS WINGS COMEBACK!They’ll be performing 3 songs: Blood, Sweat & Tears21st Centurt GirlsAm I WrongLink 1 Link 2" True link
gotmeolk 151717292652 "2016-10-12 20:13:55 GMT" http://gotmeolk.tumblr.com/post/151717292652/방탄소년단-on-twitter "[TWITTER UPDATE] 161013   방탄소년단 ‏“Thank you. I love you. #JIMIN #Kook”" True link
