tvhousehusband 144635346078 "2016-05-20 03:35:32 GMT" http://tvhousehusband.tumblr.com/post/144635346078/is-the-democratic-primary-really-rigged "A great piece about how to rationalize this campaign. It’s thrilling to see so many young voters motivated to vote but they need to learn the rules and see how to possibly bring about change instead of lashing out and insulting those who are in a position to help." True link
tvhousehusband 143044231183 "2016-04-19 04:09:30 GMT" http://tvhousehusband.tumblr.com/post/143044231183/why-hillary-clinton-thrills-the-hell-out-of-me Yaaaasss! True link
tvhousehusband 142323040923 "2016-04-06 01:02:55 GMT" http://tvhousehusband.tumblr.com/post/142323040923/9-things-bernie-sanders-shouldve-known-about-but "Feel the bern? Ha!" True link
tvhousehusband 141570068983 "2016-03-23 22:50:34 GMT" http://tvhousehusband.tumblr.com/post/141570068983/hillary-clinton-for-president "Great piece from Rolling Stone magazine. " True link
tvhousehusband 140758663983 "2016-03-09 20:16:33 GMT" http://tvhousehusband.tumblr.com/post/140758663983/heres-how-the-flash-will-visit-supergirl-in "I’m SO READY FOR THIS! I feel like a giant, single nerd. " True link
tvhousehusband 139557336553 "2016-02-18 20:00:54 GMT" http://tvhousehusband.tumblr.com/post/139557336553/in-speech-on-ending-racism-hillary-clinton-offers "back-of-the-bus:This was a really great speech and highlights key differences between the candidates." False link
tvhousehusband 139034858798 "2016-02-10 05:24:47 GMT" http://tvhousehusband.tumblr.com/post/139034858798/click-here-to-support-the-big-battle-by-janine "realitytvgifs: Hello my RealityTVGIFs friends. Today I was informed that Big Ang, our beloved queen, was hospitalized with Stage 4 lung and brain cancer. I fucking love Big Ang so much, and I want to pass along her GoFundMe to anyone here who can help. Her sister Janine (you may remember her from Big Ang’s spinoff show) is running this GoFundme page to help pay for Ang to get new cancer treatments since chemotherapy is not working. Please share if you can. Stay strong my queen! xo t.kyle " False link
tvhousehusband 139015222403 "2016-02-09 23:09:02 GMT" http://tvhousehusband.tumblr.com/post/139015222403/hillary-clinton-is-starting-to-question-bernie  True link
tvhousehusband 138693208373 "2016-02-04 23:06:59 GMT" http://tvhousehusband.tumblr.com/post/138693208373/legion-dan-stevens-to-play-the-lead-in-fx "Yes, please, and let me stare into his beautiful eyes…" True link
tvhousehusband 138572353688 "2016-02-03 00:09:18 GMT" http://tvhousehusband.tumblr.com/post/138572353688/an-all-caps-explosion-of-feelings-regarding-the "THIS IS FUCKING GREAT!" True link
